index	num_heavy_atoms	num_bonds	depiction	look	time	size
10	28	31	BALL_AND_STICK	GLOSSY	386.89589500427246	81.87
10	28	31	WIREFRAME	GLOSSY	0.6358623504638672	8.786
11	16	17	SPACEFILLING	CARTOON	167.50288009643555	16.212
10	28	31	TUBE	CARTOON	692.4400329589844	31.784
11	16	17	BALL_AND_STICK	CARTOON	224.0140438079834	38.963
11	16	17	WIREFRAME	CARTOON	0.3612041473388672	5.191
11	16	17	SPACEFILLING	GLOSSY	166.11409187316895	20.127
11	16	17	TUBE	CARTOON	390.625	19.681
10	28	31	TUBE	GLOSSY	686.3548755645752	43.353
11	16	17	WIREFRAME	GLOSSY	0.3662109375	5.191
11	16	17	BALL_AND_STICK	GLOSSY	221.93217277526855	49.93
12	34	36	SPACEFILLING	CARTOON	348.6912250518799	31.456
11	16	17	TUBE	GLOSSY	387.9110813140869	25.726
12	34	36	WIREFRAME	CARTOON	0.6780624389648438	9.733
12	34	36	BALL_AND_STICK	CARTOON	458.95886421203613	75.451
12	34	36	SPACEFILLING	GLOSSY	352.571964263916	39.721
12	34	36	BALL_AND_STICK	GLOSSY	458.0042362213135	97.71
12	34	36	WIREFRAME	GLOSSY	0.6818771362304688	9.733
12	34	36	TUBE	CARTOON	760.857105255127	35.46
13	20	22	SPACEFILLING	CARTOON	196.13003730773926	18.802
13	20	22	BALL_AND_STICK	CARTOON	265.7740116119385	46.541
13	20	22	WIREFRAME	CARTOON	0.40984153747558594	5.768
12	34	36	TUBE	GLOSSY	758.3358287811279	47.158
13	20	22	SPACEFILLING	GLOSSY	195.3740119934082	23.695
13	20	22	TUBE	CARTOON	440.4151439666748	21.445
13	20	22	WIREFRAME	GLOSSY	0.41413307189941406	5.768
13	20	22	BALL_AND_STICK	GLOSSY	266.4659023284912	59.381
13	20	22	TUBE	GLOSSY	439.35608863830566	28.443
14	27	28	SPACEFILLING	CARTOON	278.01990509033203	26.074
14	27	28	WIREFRAME	CARTOON	0.5300045013427734	7.33
14	27	28	BALL_AND_STICK	CARTOON	364.3147945404053	64.07
14	27	28	SPACEFILLING	GLOSSY	275.06518363952637	32.695
14	27	28	BALL_AND_STICK	GLOSSY	361.71627044677734	82.571
14	27	28	WIREFRAME	GLOSSY	0.5218982696533203	7.33
14	27	28	TUBE	CARTOON	553.9460182189941	26.76
14	27	28	TUBE	GLOSSY	562.0589256286621	37.297
15	39	43	SPACEFILLING	CARTOON	413.10691833496094	35.746
15	39	43	WIREFRAME	CARTOON	0.8232593536376953	11.624
15	39	43	BALL_AND_STICK	CARTOON	537.6482009887695	86.058
15	39	43	SPACEFILLING	GLOSSY	418.96796226501465	45.211
15	39	43	BALL_AND_STICK	GLOSSY	529.3338298797607	111.403
15	39	43	WIREFRAME	GLOSSY	0.8068084716796875	11.624
15	39	43	TUBE	CARTOON	931.4827919006348	42.145
16	25	27	SPACEFILLING	CARTOON	259.1590881347656	24.973
16	25	27	BALL_AND_STICK	CARTOON	356.7359447479248	61.338
16	25	27	WIREFRAME	CARTOON	0.5598068237304688	7.714
